Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
SG/SF,Treveon Graham,3400,IND@CHA 02/02/2018 07:00PM ET,9.993,CHA
PF/C,Trevor Booker,3300,MIA@PHI 02/02/2018 08:00PM ET,17.012,PHI
SF/PF,Omri Casspi,3300,GS@SAC 02/02/2018 10:30PM ET,14.609,GS
SG/SF,Norman Powell,3300,POR@TOR 02/02/2018 07:30PM ET,13.363,TOR
SF/PF,Jonas Jerebko,3300,UTA@PHO 02/02/2018 09:00PM ET,13.065,UTA
SF/PF,OG Anunoby,3300,POR@TOR 02/02/2018 07:30PM ET,12.673,TOR
PG/SG,Shaun Livingston,3300,GS@SAC 02/02/2018 10:30PM ET,11.466,GS
PF/C,Thon Maker,3200,NY@MIL 02/02/2018 08:00PM ET,12.643,MIL
PF/C,Jordan Mickey,3200,MIA@PHI 02/02/2018 08:00PM ET,11.906,MIA
SF/PF,Doug McDermott,3100,NY@MIL 02/02/2018 08:00PM ET,12.611,NY
SF/PF,Maurice Harkless,3100,POR@TOR 02/02/2018 07:30PM ET,12.131,POR
